monday_item_id,name,phone,website,address,management_group,call_status
10583452000,Spring Gardens Mapleton,8018500057,https://avistaseniorliving.com/mapletonut/,"1483 W 800 S Mapleton, UT 84664",Avista,Made Contact
10583452020,Courtyard at Jamestown Assisted & Senior Living,8013773730,https://stellarliving.com/communities/courtyard-at-jamestown-assisted-senior-living-provo-ut/,"3352 N. 100 E. Provo, UT 84604",Stellar Senior Living,Made Contact
10583463319,Abbington Lehi,8017683900,https://abbingtonseniorliving.com/lehi-ut/,"215 North Center Street Lehi, UT 84043",Abbington Senior Living,Made Contact
10583449246,Abbington Layton,14352813500,https://abbingtonseniorliving.com/layton-utah/,"350 South 100 West Layton, Utah 84041",Abbington Senior Living,Made Contact
10583446704,Legacy House of Ogden,8014365079,https://www.legacyretire.com/communities/legacy-house-of-ogden/,"5526 Adams Ave, Ogden, UT 84405",Legacy,Made Contact
11366378835,Landmark Assisted Living,14357893000,https://landmarkalf.com/,"301 E 100 S, Vernal, UT 84078",Rocky Mountain Care,Made Contact
10583452195,Lotus Park Assisted Living,3855037662,https://cogirusa.com/communities/cogir-of-lotus-park/,"2639 West 3520 South West Haven, UT 84401",Cogir,Made Contact
10583452011,Spring Gardens St. George,14352366144,https://avistaseniorliving.com/stgeorgeut/,"2654 E Red Cliffs Drive St. George, UT 84790",Avista,Reception
10583449243,Capitol Hill Senior Living,3854588477,https://capitolhillseniorliving.com/,"76 S. 500 E. Salt Lake City, UT 84102",,Reception
10583442906,Summerfield Retirement Living Inc,8014347581,https://summerfieldinfo.com/,"911 N 800 W, Orem, UT 84057, United States",,Reception
10583458110,Ashford Assisted Living of Springville,8014891940,https://ashfordutah.com/springville,"333 S 950 W, Springville, UT 84663, USA",Well Quest,Reception
10583449244,Copper Creek Senior Living,3852742000,https://stellarliving.com/communities/copper-creek-senior-assisted-living-south-jordan-ut/,"10569 River Heights Dr, South Jordan UT 84095",Stellar Senior Living,Reception
10583445144,Beacon Crest Draper,8019511300,https://www.beaconcrestseniorliving.com/,"Beacon Crest Draper 591 Pioneer Rd Draper, UT 84020",,Voicemail
10583452054,Southgate Senior Living,14356281117,https://southgateseniorliving.com/,"134 West 2025 South, Saint George, UT 84770",,Mailbox Full
10583452089,Spring Gardens Lindon,8015150970,https://avistaseniorliving.com/lindonut/,"815 W 700 N Lindon, UT 84042",Avista,Not Contacted
10583452012,"Country Home Assisted Living, Inc",3852063679,https://www.countryhomeassistedliving.co/,"565 Medical Dr, Bountiful, UT 84010",,Not Interested
10583458335,Sunridge of West Jordan,8012802244,https://www.sunridgeassistedlivingofwestjordan.com/,"7037 S 4800 W West Jordan, Utah 84084",SAL,SAL
10583449224,Spring Gardens Heber,14352222540,https://avistaseniorliving.com/heberut/,"551 E 1200 S Heber City, UT 84032",Avista,ENDED HERE
10583463342,Abbington Murray,3852893700,https://abbingtonseniorliving.com/murray-utah/,"5377 S. State Street Murray, UT 84107",Abbington Senior Living,Reception
10583458111,Sunridge Assisted Living of Roy,8012108119,https://www.sunridgeassistedlivingofroy.com/,"3673 W 5600 S, Roy, UT 84067",SAL,SAL
10583446749,The Inn Between (Nonprofit),8014108314,https://tibhospice.org/,"1216 E 1300 S Salt Lake City, Utah 84105",,Not Quilified
10583452091,Spring Gardens Draper,3854464195,https://avistaseniorliving.com/draper,"1393 Pioneer Rd Draper, UT, 84020",Avista,Reception
10583445079,Sunridge Assisted Living of Layton,8015442200,https://www.sunridgeassistedliving.com/sunridge-of-layton/,"835 South Angel Street Layton, Utah 84041",SAL,SAL
10583449245,Gables Of Brigham City,14352398780,https://www.thegablesfamily.com/locations/brigham-city-assisted-living-memory-care/,"997 S. 800 W. Brigham City, Utah 84302",,Reception
10583458170,Our House Assisted Living of Ogden,8017824444,https://www.ourhouseassistedlivingofogden.com/,"446 Jefferson Ave, Ogden, UT 84404",SAL,SAL
10583449225,Spring Gardens Midvale,3852651090,https://avistaseniorliving.com/midvale/,"6968 S 700 W Midvale, UT 84047",Avista,ENDED HERE
10583454285,SAL-Our House Assisted Living of Tooele,14358435100,https://ourhouseassistedliving.com/our-house-of-tooele/,"251 East 1000 North Tooele, Utah 84074",SAL,SAL
10583463322,Spring Gardens Holladay,8018905129,https://avistaseniorliving.com/holladayut/,"2728 E 3900 S Holladay, UT, 84124",Avista,Voicemail
10583446724,The Ridge - Cottonwood,8019477400,https://theridgeseniorliving.com/locations/holladay-ut/,"5600 Highland Drive Holladay UT, 84121",,Notes
